samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Seppa_i1	5	93	5	Alnus	Alnus	TRSH
Seppa_i1	597	1	11	Aster-type	Aster-type	HERB
Seppa_i1	12	50	12	Betula	Betula	TRSH
Seppa_i1	3663	1	3663	Carex	Carex	AQUA
Seppa_i1	16	17	16	Carpinus	Carpinus betulus	TRSH
Seppa_i1	1065	6	22	Cerealia-type	Cerealia-type	HERB
Seppa_i1	45	4	45	Filipendula	Filipendula	HERB
Seppa_i1	1573	7	828	Humulus	Humulus lupulus	HERB
Seppa_i1	741	1	25	Lactuceae	Asteraceae subf. Cichorioideae	HERB
Seppa_i1	2518	2	2518	Lychnis flos-cuculi	Lychnis flos-cuculi	HERB
Seppa_i1	143	1	143	Lycopodium	Lycopodium	VACR
Seppa_i1	126	127	126	Picea	Picea	TRSH
Seppa_i1	75	190	75	Pinus	Pinus	TRSH
Seppa_i1	60	4	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Seppa_i1	79	1	79	Plantago major	Plantago major	HERB
Seppa_i1	80	12	80	Poaceae	Poaceae	HERB
Seppa_i1	146	1	146	Polypodiaceae	Monolete fern spores	VACR
Seppa_i1	189	23	189	Quercus	Quercus	TRSH
Seppa_i1	629	1	274	Ranunculus	Ranunculus-type	HERB
Seppa_i1	727	3	94	Rumex	Rumex/Oxyria	HERB
Seppa_i1	2925	3	235	Saussurea-type	Saussurea-type	HERB
Seppa_i1	154	5	154	Ulmus	Ulmus/Zelkova	TRSH
Seppa_i1	7	7	7	Artemisia	Artemisia	HERB
Seppa_i1	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Seppa_i1	145	1	145	Equisetum	Equisetum	VACR
Seppa_i1	201	3	31	Corylus	Corylus	TRSH
