samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Ortu_b52	2	1	2	Acer	Acer campestre-type	TRSH
Ortu_b52	760	1	155	Alnus glutinosa	Alnus glutinosa-type	TRSH
Ortu_b52	761	2	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Ortu_b52	12	14	12	Betula	Betula	TRSH
Ortu_b52	13	4	13	Brassicaceae	Brassicaceae	HERB
Ortu_b52	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Ortu_b52	441	1	19	Castanea	Castanea sativa	TRSH
Ortu_b52	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Ortu_b52	447	6	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Ortu_b52	201	1	31	Corylus	Corylus	TRSH
Ortu_b52	192	2	42	Fagus	Fagus	TRSH
Ortu_b52	498	1	498	Geranium	Geranium	HERB
Ortu_b52	4078	1	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Ortu_b52	59	1	59	Lamiaceae	Lamiaceae	HERB
Ortu_b52	1152	1	611	Lotus	Lotus-type	HERB
Ortu_b52	75	56	75	Pinus	Pinus	TRSH
Ortu_b52	80	60	80	Poaceae	Poaceae	HERB
Ortu_b52	152	2	86	Quercus robur-type	Quercus robur-type	TRSH
Ortu_b52	135	5	135	Ranunculaceae	Ranunculaceae	HERB
Ortu_b52	99	8	99	Salix	Salix	TRSH
Ortu_b52	2981	1	2771	Stomata	Stomata	VEMI
Ortu_b52	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Ortu_b52	60	2	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Ortu_b52	123	1	123	Larix	Larix/Pseudotsuga	TRSH
Ortu_b52	126	4	126	Picea	Picea	TRSH
Ortu_b52	190	2	190	Fraxinus	Fraxinus	TRSH
Ortu_b52	560	1	321	Abies	Abies	TRSH
Ortu_b52	561	6	129	Alnus viridis	Alnus viridis	TRSH
Ortu_b52	727	13	94	Rumex	Rumex/Oxyria	HERB
Ortu_b52	743	60	640	Saxifraga oppositifolia	Saxifraga oppositifolia-type	HERB
Ortu_b52	1366	2	512	Potentilla	Potentilla-type	HERB
Ortu_b52	3868	13	3868	Cyperaceae	Cyperaceae	AQUA
Ortu_b52	92	4	92	Rosaceae	Rosaceae	TRSH
