samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Miras_j8	560	3	321	Abies	Abies	TRSH
Miras_j8	761	2	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Miras_j8	3608	1	11	Bellis-type	Aster-type	HERB
Miras_j8	12	14	12	Betula	Betula	TRSH
Miras_j8	3645	5	3645	Calluna	Calluna vulgaris	DWAR
Miras_j8	16	1	16	Carpinus	Carpinus betulus	TRSH
Miras_j8	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Miras_j8	22	5	22	Cerealia	Cerealia-type	HERB
Miras_j8	201	12	31	Corylus	Corylus	TRSH
Miras_j8	3868	4	3868	Cyperaceae	Cyperaceae	AQUA
Miras_j8	130	1	130	Ericaceae	Ericales (tetrad)	DWAR
Miras_j8	3958	1	3958	Fabaceae	Fabaceae	INUN
Miras_j8	192	13	42	Fagus	Fagus	TRSH
Miras_j8	1475	1	93	Galium	Rubiaceae	HERB
Miras_j8	3994	1	3878	Genista/Cytisus	Genista-type	HERB
Miras_j8	4193	2	146	Monolete fern spores	Monolete fern spores	VACR
Miras_j8	75	27	75	Pinus	Pinus	TRSH
Miras_j8	60	10	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Miras_j8	80	142	80	Poaceae	Poaceae	HERB
Miras_j8	666	1	214	Polypodium	Polypodium	VACR
Miras_j8	92	3	92	Rosaceae	Rosaceae	TRSH
Miras_j8	727	6	94	Rumex	Rumex/Oxyria	HERB
Miras_j8	99	1	99	Salix	Salix	TRSH
Miras_j8	104	1	22	Secale	Cerealia-type	HERB
Miras_j8	187	1	187	Tilia	Tilia	TRSH
Miras_j8	115	1	115	Trifolium	Trifolium-type	HERB
Miras_j8	1098	4	177	Varia	Indeterminable: unknown	INUN
Miras_j8	5	3	5	Alnus	Alnus	TRSH
Miras_j8	6	6	6	Apiaceae	Apiaceae	HERB
Miras_j8	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Miras_j8	126	19	126	Picea	Picea	TRSH
Miras_j8	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Miras_j8	173	1	173	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB
Miras_j8	189	21	189	Quercus	Quercus	TRSH
Miras_j8	190	1	190	Fraxinus	Fraxinus	TRSH
Miras_j8	441	5	19	Castanea	Castanea sativa	TRSH
Miras_j8	442	1	68	Olea	Olea europaea	TRSH
Miras_j8	447	1	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Miras_j8	724	4	270	Plantago	Plantago	HERB
Miras_j8	1248	1	1248	Fagopyrum	Fagopyrum	HERB
Miras_j8	4746	1	1290	Vicia/Lathyrus	Lathyrus/Vicia-type	HERB
