samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Novenko_a13	7	4	7	Artemisia	Artemisia	HERB
Novenko_a13	12	555	12	Betula	Betula	TRSH
Novenko_a13	13	1	13	Brassicaceae	Brassicaceae	HERB
Novenko_a13	2466	5	134	Compositae	Asteraceae	HERB
Novenko_a13	201	2	31	Corylus	Corylus	TRSH
Novenko_a13	59	1	59	Lamiaceae	Lamiaceae	HERB
Novenko_a13	126	77	126	Picea	Picea	TRSH
Novenko_a13	75	112	75	Pinus	Pinus	TRSH
Novenko_a13	146	39	146	Polypodiaceae	Monolete fern spores	VACR
Novenko_a13	189	4	189	Quercus	Quercus	TRSH
Novenko_a13	727	1	94	Rumex	Rumex/Oxyria	HERB
Novenko_a13	481	5	407	Sambucus	Sambucus	TRSH
Novenko_a13	144	3	144	Sphagnum	Sphagnum	BRYO
Novenko_a13	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Novenko_a13	5	53	5	Alnus	Alnus	TRSH
Novenko_a13	18	6	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Novenko_a13	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Novenko_a13	80	4	80	Poaceae	Poaceae	HERB
Novenko_a13	99	7	99	Salix	Salix	TRSH
Novenko_a13	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Novenko_a13	1750	1	1750	Juncaceae	Juncaceae	HERB
Novenko_a13	92	1	92	Rosaceae	Rosaceae	TRSH
