samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Ortu_a4	760	5	155	Alnus glutinosa	Alnus glutinosa-type	TRSH
Ortu_a4	6	2	6	Apiaceae	Apiaceae	HERB
Ortu_a4	761	7	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Ortu_a4	12	8	12	Betula	Betula	TRSH
Ortu_a4	13	5	13	Brassicaceae	Brassicaceae	HERB
Ortu_a4	1241	2	147	Bryophyta	Bryophyte spores	BRYO
Ortu_a4	16	2	16	Carpinus	Carpinus betulus	TRSH
Ortu_a4	18	1	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Ortu_a4	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Ortu_a4	447	3	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Ortu_a4	201	5	31	Corylus	Corylus	TRSH
Ortu_a4	519	1	519	Crassulaceae	Crassulaceae	HERB
Ortu_a4	145	4	145	Equisetum	Equisetum	VACR
Ortu_a4	130	4	130	Ericaceae	Ericales (tetrad)	DWAR
Ortu_a4	45	1	45	Filipendula	Filipendula	HERB
Ortu_a4	190	4	190	Fraxinus	Fraxinus	TRSH
Ortu_a4	57	2	57	Juglans	Juglans	TRSH
Ortu_a4	58	19	58	Juniperus	Juniperus communis-type	TRSH
Ortu_a4	59	2	59	Lamiaceae	Lamiaceae	HERB
Ortu_a4	123	4	123	Larix	Larix/Pseudotsuga	TRSH
Ortu_a4	62	2	62	Liliaceae	Liliaceae-type	HERB
Ortu_a4	442	2	68	Olea	Olea europaea	TRSH
Ortu_a4	75	283	75	Pinus	Pinus	TRSH
Ortu_a4	724	10	270	Plantago	Plantago	HERB
Ortu_a4	80	57	80	Poaceae	Poaceae	HERB
Ortu_a4	1604	2	1505	Polygonum	Polygonum-type (tricolporate)	HERB
Ortu_a4	666	1	214	Polypodium	Polypodium	VACR
Ortu_a4	1366	2	512	Potentilla	Potentilla-type	HERB
Ortu_a4	437	8	86	Quercus deciduous	Quercus robur-type	TRSH
Ortu_a4	804	3	176	Sparganium/Typha	Sparganium-type	AQUA
Ortu_a4	416	2	279	Trilete spores	Trilete spore(s)	VACR
Ortu_a4	154	3	154	Ulmus	Ulmus/Zelkova	TRSH
Ortu_a4	969	2	177	Unknown	Indeterminable: unknown	INUN
Ortu_a4	809	1	809	Urticaceae	Urticaceae	HERB
Ortu_a4	2	1	2	Acer	Acer campestre-type	TRSH
Ortu_a4	7	3	7	Artemisia	Artemisia	HERB
Ortu_a4	126	14	126	Picea	Picea	TRSH
Ortu_a4	135	5	135	Ranunculaceae	Ranunculaceae	HERB
Ortu_a4	192	2	42	Fagus	Fagus	TRSH
Ortu_a4	525	1	525	Gentianaceae	Gentianaceae	HERB
Ortu_a4	560	7	321	Abies	Abies	TRSH
Ortu_a4	962	2	962	Botrychium	Botrychium	VACR
Ortu_a4	3868	482	3868	Cyperaceae	Cyperaceae	AQUA
Ortu_a4	93	2	93	Rubiaceae	Rubiaceae	HERB
