samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Ejarque_a21	943	1	3	Achillea-type	Matricaria-type	HERB
Ejarque_a21	760	2	155	Alnus glutinosa	Alnus glutinosa-type	TRSH
Ejarque_a21	6	1	6	Apiaceae	Apiaceae	HERB
Ejarque_a21	7	1	7	Artemisia	Artemisia	HERB
Ejarque_a21	761	3	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Ejarque_a21	12	92	12	Betula	Betula	TRSH
Ejarque_a21	962	3	962	Botrychium	Botrychium	VACR
Ejarque_a21	13	2	13	Brassicaceae	Brassicaceae	HERB
Ejarque_a21	3646	1	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Ejarque_a21	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Ejarque_a21	447	1	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Ejarque_a21	201	7	31	Corylus	Corylus	TRSH
Ejarque_a21	3868	2	3868	Cyperaceae	Cyperaceae	AQUA
Ejarque_a21	547	1	547	Epilobium	Epilobium	HERB
Ejarque_a21	130	2	130	Ericaceae	Ericales (tetrad)	DWAR
Ejarque_a21	3958	2	3958	Fabaceae	Fabaceae	INUN
Ejarque_a21	192	1	42	Fagus	Fagus	TRSH
Ejarque_a21	3995	1	49	Genista/Ulex	Genista-type	TRSH
Ejarque_a21	52	1	52	Helianthemum	Helianthemum	HERB
Ejarque_a21	58	1	58	Juniperus	Juniperus communis-type	TRSH
Ejarque_a21	611	1	611	Lotus-type	Lotus-type	HERB
Ejarque_a21	143	23	143	Lycopodium	Lycopodium	VACR
Ejarque_a21	2111	13100	1293	Lycopodium (grains/tablet)	Lycopodium (spores/tablet)	NOPO
Ejarque_a21	4163	10	1295	Lycopodium tablets (number)	Lycopodium tablets (number)	NOPO
Ejarque_a21	1073	1	65	Mentha-type	Mentha-type	HERB
Ejarque_a21	4253	1	72	Paronychia-type	Paronychia	HERB
Ejarque_a21	75	1125	75	Pinus	Pinus	TRSH
Ejarque_a21	724	1	270	Plantago	Plantago	HERB
Ejarque_a21	80	20	80	Poaceae	Poaceae	HERB
Ejarque_a21	626	1	512	Potentilla-type	Potentilla-type	HERB
Ejarque_a21	1052	2	85	Quercus ilex-type	Quercus ilex-type	TRSH
Ejarque_a21	2429	1	274	Ranunculus-type	Ranunculus-type	HERB
Ejarque_a21	4474	1	4474	Rhododendron ferrugineum	Rhododendron	DWAR
Ejarque_a21	99	2	99	Salix	Salix	TRSH
Ejarque_a21	4539	9	4539	Sample dry mass (g)	Sample dry mass (g)	NOPO
Ejarque_a21	639	2	639	Saxifragaceae	Saxifragaceae	HERB
Ejarque_a21	187	1	187	Tilia	Tilia	TRSH
Ejarque_a21	1284	1	115	Trifolium-type	Trifolium-type	HERB
Ejarque_a21	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Ejarque_a21	1098	16	177	Varia	Indeterminable: unknown	INUN
Ejarque_a21	4756	1	4756	Vitis	Vitis	LIAN
Ejarque_a21	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Ejarque_a21	68	11	68	Olea europaea	Olea europaea	TRSH
Ejarque_a21	89	1	89	Rhamnus	Rhamnus-type	TRSH
Ejarque_a21	188	1	188	Buxus	Buxus	TRSH
Ejarque_a21	437	29	86	Quercus deciduous	Quercus robur-type	TRSH
Ejarque_a21	560	4	321	Abies	Abies	TRSH
Ejarque_a21	727	1	94	Rumex	Rumex/Oxyria	HERB
Ejarque_a21	1283	1	114	Trifolium pratense-type	Trifolium pratense-type	HERB
Ejarque_a21	2628	1	1242	Cichorium intybus-type	Crepis-type	HERB
Ejarque_a21	4373	1	1505	Polygonum-type	Polygonum-type (tricolporate)	HERB
Ejarque_a21	605	2	93	Galium-type	Rubiaceae	HERB
