samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Theuerkauf_a6	5	71	5	Alnus	Alnus	TRSH
Theuerkauf_a6	7	4	7	Artemisia	Artemisia	HERB
Theuerkauf_a6	3600	8	818	Avena/Triticum-group	Avena/Triticum-type	HERB
Theuerkauf_a6	2115	81	128	Betula pubescens-type	Betula pubescens-type	TRSH
Theuerkauf_a6	16	5	16	Carpinus	Carpinus betulus	TRSH
Theuerkauf_a6	24	7	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Theuerkauf_a6	201	41	31	Corylus	Corylus	TRSH
Theuerkauf_a6	3868	6	3868	Cyperaceae	Cyperaceae	AQUA
Theuerkauf_a6	190	4	190	Fraxinus	Fraxinus	TRSH
Theuerkauf_a6	1475	1	93	Galium	Rubiaceae	HERB
Theuerkauf_a6	1601	89	80	Gramineae	Poaceae	HERB
Theuerkauf_a6	4078	8	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Theuerkauf_a6	785	114	125	Pinus diploxylon	Pinus sylvestris-type	TRSH
Theuerkauf_a6	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Theuerkauf_a6	189	30	189	Quercus	Quercus	TRSH
Theuerkauf_a6	630	2	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Theuerkauf_a6	634	2	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Theuerkauf_a6	4505	4	95	Rumex acetosa/R. acetosella	Rumex acetosa-type	HERB
Theuerkauf_a6	96	2	96	Rumex acetosella	Rumex acetosella	HERB
Theuerkauf_a6	99	3	99	Salix	Salix	TRSH
Theuerkauf_a6	104	9	22	Secale	Cerealia-type	HERB
Theuerkauf_a6	1403	12	246	Sinapis-type	Sinapis-type	HERB
Theuerkauf_a6	4610	2	4608	Sparganium emersum-type	Sparganium emersum-type	AQUA
Theuerkauf_a6	4612	1	4611	Sparganium erectum-type	Sparganium erectum	AQUA
Theuerkauf_a6	144	1	144	Sphagnum	Sphagnum	BRYO
Theuerkauf_a6	187	4	187	Tilia	Tilia	TRSH
Theuerkauf_a6	154	8	154	Ulmus	Ulmus/Zelkova	TRSH
Theuerkauf_a6	2	2	2	Acer	Acer campestre-type	TRSH
Theuerkauf_a6	126	3	126	Picea	Picea	TRSH
Theuerkauf_a6	192	26	42	Fagus	Fagus	TRSH
Theuerkauf_a6	590	1	6	Umbelliferae	Apiaceae	HERB
Theuerkauf_a6	1572	3	258	Hordeum	Hordeum-type	HERB
Theuerkauf_a6	4194	2	146	Monolete fern spores (psilate)	Monolete fern spores	VACR
